number,country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,continent,x1_caseevery_x_ppl,x1_deathevery_x_ppl,x1_testevery_x_ppl
 27,Ukraine,112059,1974,2403, 49,54217,763,55439,177,2565,55,1452006,33233,43691576,Europe,390,18182,30
 28,Ecuador,110549,,6410,NA,95097,,9042,370,6252,362,315924,17865,17683472,South America,160,2759,56
 29,Israel,108964,561,875,NA,87011,545,21078,399,11847,95,2180096,237029,9197590,Asia,84,10512,4
 30,Kazakhstan,105243,168,1523,NA,94713,723,9007,221,5595,81,2434444,129416,18810937,Asia,179,12351,8
 31,Egypt,97825,,5317,NA,68713,,23795,41,953,52,135000,1316,102622155,Africa,1049,19301,760
 32,Dominican Republic,92557,,1613,NA,63478,,27466,249,8519,148,355839,32752,10864588,North America,117,6736,31
 33,Panama,89082,,1932,NA,63595,,23555,153,20597,447,317156,73331,4324996,North America,49,2239,14
 34,Sweden,87072,,5817,NA,"NA","NA","NA",21,8613,575,1094856,108305,10109031,Europe,116,1738,9
 35,Oman,84818,,646,NA,79409,,4763,148,16548,126,309212,60327,5125566,Asia,60,7934,17
 36,Belgium,83030,583,9879,  1,18331,40,54820,85,7159,852,2189246,188769,11597489,Europe,140,1174,5
 37,Kuwait,82271,,521,NA,73906,,7844,92,19222,122,599413,140046,4280111,Asia,52,8215,7
 38,Romania,81646,,3421,NA,36286,,41939,502,4249,178,1705368,88742,19217049,Europe,235,5617,11
 39,Belarus,70974,,657,NA,69378,,939,,7511,70,1487902,157469,9448832,Europe,133,14382,6
 40,Guatemala,70714,,2662,NA,58783,,9269,5,3936,148,229882,12796,17965034,North America,254,6749,78
 41,Netherlands,68114,,6215,NA,"NA","NA","NA",47,3974,363,1455274,84901,17140821,Europe,252,2758,12
 42,UAE,68020,,378,NA,59070,,8572,,6865,38,6687414,674910,9908607,Asia,146,26213,1
 43,Japan,63822,,1209,NA,51688,,10925,246,505,10,1376783,10891,126414795,Asia,1981,104561,92
 44,Poland,63802,,1994,NA,43399,,18409,79,1686,53,2577726,68122,37840045,Europe,593,18977,15
 45,Honduras,56649,772,1747, 44,9169,45,45733,47,5706,176,135216,13619,9928318,North America,175,5683,73
 46,Singapore,56495,,27,NA,54971,,1497,,9645,5,1832813,312903,5857443,Asia,104,216942,3
 47,Portugal,56274,,1807,NA,41184,,13283,38,5521,177,1958651,192176,10191976,Europe,181,5640,5
 48,Morocco,55864,,984,NA,40586,,14294,31,1511,27,1824251,49334,36977259,Africa,662,37579,20
 49,Nigeria,53021,,1010,NA,40281,,11730,7,256,5,388346,1877,206886335,Africa,3902,204838,533
 50,Bahrain,50393,,186,NA,47049,,3158,30,29471,109,1067907,624537,1709919,Asia,34,9193,2
 51,Ethiopia,45221,,725,NA,16311,,28185,327,392,6,813410,7050,115379816,Africa,2551,159145,142
 52,Ghana,43769,,270,NA,42048,,1451,5,1404,9,437001,14020,31168998,Africa,712,115441,71
 53,Kyrgyzstan,43459,101,1057,NA,37492,275,4910,24,6645,162,267718,40933,6540366,Asia,150,6188,24
 54,Armenia,43067,,861,NA,36726,,5480,,14529,290,198569,66991,2964113,Asia,69,3443,15
 55,Algeria,42619,,1465,NA,29886,,11268,28,969,33,,,43969405,Africa,1032,30013,
 56,Venezuela,41965,,351,NA,32931,,8683,86,1476,12,1723801,60648,28423116,South America,677,80978,16
 57,Switzerland,40645,,2003,NA,34800,,3842,18,4691,231,962895,111132,8664406,Europe,213,4326,9
 58,Uzbekistan,40195,231,295,  4,36562,160,3338,139,1198,9,1377915,41080,33542544,Asia,834,113704,24
 59,Afghanistan,38113,,1401,NA,29042,,7670,31,976,36,101893,2609,39057471,Asia,1025,27878,383
 60,Costa Rica,36307,,386,NA,13317,,22604,143,7117,76,136154,26690,5101269,North America,141,13216,37
 61,Azerbaijan,35707,,522,NA,33281,,1904,,3517,51,892070,87861,10153232,Asia,284,19451,11
 62,Moldova,34982,,967,NA,24156,,9859,575,8675,240,183923,45610,4032473,Europe,115,4170,22
 63,Nepal,34418,,175,NA,19504,,14739,,1178,6,635252,21744,29215160,Asia,849,166944,46
 64,Kenya,33016,,564,NA,19296,,13156,44,612,10,429513,7962,53946033,Africa,1634,95649,126
 65,Serbia,30974,,707,NA,29343,,924,37,3547,81,895507,102558,8731751,Europe,282,12350,10
 66,Ireland,28363,,1777,NA,23364,,3222,5,5734,359,790298,159778,4946213,Europe,174,2783,6
 67,Austria,26033,,733,NA,22145,,3155,23,2888,81,1110089,123146,9014380,Europe,346,12298,8
 68,Australia,25322,118,572, 23,20100,,4650,35,991,22,5936365,232388,25545026,AustraliaOceania,1009,44659,4
